"Year","UniqueCarrier","n_aircrafts","Total_Flights","Carrier"
"2008","9E","156","255108","Pinnacle Airlines Inc."
"2007","9E","140","250912","Pinnacle Airlines Inc."
"1995","AA","663","677176","American Airlines Inc."
"2007","AA","673","615933","American Airlines Inc."
"2005","AA","710","663817","American Airlines Inc."
"2003","AA","911","740161","American Airlines Inc."
"1998","AA","652","639257","American Airlines Inc."
"2004","AA","774","686146","American Airlines Inc."
"1996","AA","650","641045","American Airlines Inc."
"1997","AA","648","650475","American Airlines Inc."
"2001","AA","770","684755","American Airlines Inc."
"2006","AA","701","633470","American Airlines Inc."
"1999","AA","718","663693","American Airlines Inc."
"2000","AA","741","712588","American Airlines Inc."
"2002","AA","1890","842818","American Airlines Inc."
"2008","AA","655","587445","American Airlines Inc."
"2007","AQ","27","45972","Aloha Airlines Inc.*"
"2008","AQ","20","7758","Aloha Airlines Inc.*"
"2001","AQ","23","52309","Aloha Airlines Inc.*"
"2000","AQ","20","10863","Aloha Airlines Inc.*"
"2006","AQ","26","34642","Aloha Airlines Inc.*"
"1998","AS","87","148710","Alaska Airlines Inc."
"2004","AS","110","163322","Alaska Airlines Inc."
"2000","AS","96","146665","Alaska Airlines Inc."
"2003","AS","113","158111","Alaska Airlines Inc."
"2007","AS","128","157622","Alaska Airlines Inc."
"1995","AS","74","133196","Alaska Airlines Inc."
"1999","AS","93","150734","Alaska Airlines Inc."
"2008","AS","126","148963","Alaska Airlines Inc."
"2002","AS","204","155641","Alaska Airlines Inc."
"2005","AS","111","155470","Alaska Airlines Inc."
"1996","AS","77","141066","Alaska Airlines Inc."
"2006","AS","116","156974","Alaska Airlines Inc."
"1997","AS","80","144678","Alaska Airlines Inc."
"2001","AS","104","150622","Alaska Airlines Inc."
"2003","B6","56","66876","JetBlue Airways"
"2004","B6","70","89323","JetBlue Airways"
"2005","B6","93","110162","JetBlue Airways"
"2008","B6","153","192886","JetBlue Airways"
"2007","B6","140","187740","JetBlue Airways"
"2006","B6","125","155073","JetBlue Airways"
"1998","CO","390","392011","Continental Air Lines Inc."
"2000","CO","382","385740","Continental Air Lines Inc."
"2003","CO","365","300403","Continental Air Lines Inc."
"2005","CO","352","293922","Continental Air Lines Inc."
"1995","CO","340","425670","Continental Air Lines Inc."
"2008","CO","377","294753","Continental Air Lines Inc."
"2007","CO","357","320200","Continental Air Lines Inc."
"2002","CO","376","323949","Continental Air Lines Inc."
"1997","CO","338","396608","Continental Air Lines Inc."
"1999","CO","420","391720","Continental Air Lines Inc."
"1996","CO","310","404632","Continental Air Lines Inc."
"2006","CO","349","307740","Continental Air Lines Inc."
"2004","CO","362","297431","Continental Air Lines Inc."
"2001","CO","399","366285","Continental Air Lines Inc."
"2003","DH","150","280588","Independence Air"
"2005","DH","95","133615","Independence Air"
"2004","DH","146","256668","Independence Air"
"2005","DL","533","640571","Delta Air Lines Inc."
"2007","DL","449","469368","Delta Air Lines Inc."
"1996","DL","547","871187","Delta Air Lines Inc."
"1995","DL","549","871929","Delta Air Lines Inc."
"1999","DL","611","892387","Delta Air Lines Inc."
"2000","DL","637","876460","Delta Air Lines Inc."
"2004","DL","536","676921","Delta Air Lines Inc."
"2008","DL","461","445118","Delta Air Lines Inc."
"2002","DL","1132","720693","Delta Air Lines Inc."
"2003","DL","561","653674","Delta Air Lines Inc."
"1998","DL","594","898170","Delta Air Lines Inc."
"2001","DL","625","802410","Delta Air Lines Inc."
"2006","DL","480","498391","Delta Air Lines Inc."
"1997","DL","559","908107","Delta Air Lines Inc."
"2003","EV","162","267207","Atlantic Southeast Airlines"
"2008","EV","162","275549","Atlantic Southeast Airlines"
"2007","EV","162","277314","Atlantic Southeast Airlines"
"2005","EV","180","290747","Atlantic Southeast Airlines"
"2006","EV","159","266360","Atlantic Southeast Airlines"
"2004","EV","143","271319","Atlantic Southeast Airlines"
"2005","F9","49","53080","Frontier Airlines Inc."
"2007","F9","62","97362","Frontier Airlines Inc."
"2008","F9","62","95459","Frontier Airlines Inc."
"2006","F9","55","89279","Frontier Airlines Inc."
"2006","FL","127","235704","AirTran Airways Corporation"
"2005","FL","107","192944","AirTran Airways Corporation"
"2007","FL","137","260557","AirTran Airways Corporation"
"2003","FL","93","143086","AirTran Airways Corporation"
"2008","FL","142","259448","AirTran Airways Corporation"
"2004","FL","89","160545","AirTran Airways Corporation"
"2004","HA","28","47915","Hawaiian Airlines Inc."
"2006","HA","26","51920","Hawaiian Airlines Inc."
"2005","HA","25","48114","Hawaiian Airlines Inc."
"2007","HA","29","55937","Hawaiian Airlines Inc."
"2008","HA","32","61256","Hawaiian Airlines Inc."
